"Speaker","Text","Page","speaker_id"
"Peter","Spinnst du? Was machst du denn da?","5","3"
"Justus","Komm, Zweiter! Das sehen wir uns an.","5","2"
"REGIE","*Schritte*","5","0"
"Justus","Stimmt was nicht, Bob?","5","2"
"Bob","Seht euch das an.","5","4"
"Peter","Was ist denn da? *erstarrt* Nein.","5","3"
"Erzähler","Fassungslos und mit weit aufgerissenen Augen starrten Bob und","5","574"
"Erzähler","Peter in den Ginsterbusch. Justus bemerkte ein dünnes","5","574"
"Erzähler","Drahtseil, dann sah er die Katzenpfoten. Sein Blick glitt den","5","574"
"Erzähler","stahlblauen Pelz entlang und blieb entsetzt an dem buschigen,","5","574"
"Erzähler","schwarzen Schwanz haften. Das Tier, das in der Drahtschlinge","5","574"
"Erzähler","vom Abendwind leicht hin und her geschaukelt wurde, war","5","574"
"Erzähler","unverkennbar Mrs Summers vermisster Kater ""Come In""!","5","574"
"Bob","Wer ist zu solch einer grausamen Tat fähig, Freunde?","5","4"
"Peter","Irgendeinem bestialischen Tiermörder ist es offensichtlich","5","3"
"Peter","mühelos gelungen, das Eingangstor zu passieren und den toten","5","3"
"Peter","Kater hier im Gebüsch aufzuhängen.","5","3"
"Bob","Du meinst der Kater war schon tot bevor er gehängt wurde?","5","4"
"Justus","Wahrscheinlich wurde er vergiftet, sein Körper weist nicht die","5","2"
"Justus","geringsten Spuren äußerlicher Gewaltanwendung auf.","5","2"
"Bob","Warum hat man ihn dann hier ins Gebüsch gehängt?","5","4"
"REGIE","*Schritte; die drei erschrecken sich*","6","0"
"Mann","Was lungert ihr hier herum? *erschrickt* Gütiger Himmel!","6","58"
"Mann","""Come In""!","6","58"
"Justus","Augenblick, Sir! Vielleicht wären Sie so liebenswürdig, uns erst","6","2"
"Justus","einmal zu erklären, wer Sie sind und was Sie hier machen und","6","2"
"Justus","ob Sie überhaupt befugt sind Mrs Summers Kater an sich zu","6","2"
"Justus","nehmen.","6","2"
"Bob","Ganz genau.","6","4"
"Mann","Wie redest du denn mit mir, du frecher Lümmel?","6","58"
"Justus","Mrs Summer hat uns zu sich gebeten, da ihr Kater, wie sie","6","2"
"Justus","glaubte, entlaufen war. Sie hat uns den offiziellen Auftrag erteilt,","6","2"
"Justus","das Tier wieder zu finden. Was uns auch schneller gelungen ist,","6","2"
"Justus","als wir zu hoffen wagten.","6","2"
"Mann","Ich bin ihr Bodyguard, Gärtner und Hausmeister. Mein Name ist","6","58"
"Mann","Daniel Art. Und Sicherheit wird hier nun mal großgeschrieben.","6","58"
"Mann","Peter:*lacht* ""Come In"" hat von dieser Sicherheit nicht profitieren können.","6","58"
"Mr Art","Vielleicht wäre es besser, wenn ich diese Angelegenheit allein in","6","-1"
"Mr Art","die Hand nehme.","6","-1"
"Justus","Bedaure, Sir. Wir kommen mit.","6","2"
"REGIE","*Schritte*","6","0"
